"giorno","data","primo","secondo","contorno","frutta","altro"
"Lunedì","16/09/2024","pasta con sugo di pomodoro freddo","caciotta","insalata mista (lattuga, carote, cetrioli, pomodori)","frutta","pane bianco"
"martedì","17/09/2024","pasta e ceci (minestra)","polpette di vitellone panate al forno","pomodori e basilico","frutta","pane integrale"
"mercoledì","18/09/2024","pasta al pesto di basilico fresco","uovo sodo","cannellini all’olio (contorno)","frutta","pane bianco"
"giovedì","19/09/2024","ravioli ricotta e spinaci all’olio","tacchino al forno (bocconcini)","insalata verde","frutta","pane integrale"
"venerdì","20/09/2024","risotto con le zucchine","polpette di merluzzo al pomodoro","carote filangè","frutta","pane bianco"
"Lunedì","23/09/2024","pasta olio e parmigiano","Edamer","fagiolini all'olio","frutta","pane integrale"
"martedì","24/09/2024","pasta con le zucchine","maiale (arista) al forno","spinaci all’olio","frutta","pane bianco"
"mercoledì","25/09/2024","risotto alla parmigiana","medaglioni di nasello e patate al limone","pomodori e cetrioli","frutta","pane integrale"
"giovedì","26/09/2024","pasta rosé","frittata con le patate","zucchine trifolate","frutta","pane bianco"
"venerdì","27/09/2024","bruschetta al pomodoro e basilico","maiale alla bolognese (straccetti)","insalata verde","frutta","pane integrale"
"Lunedì","30/09/2024","pasta integrale alla pomarola toscana","uova strapazzate","finocchi bastoncino","frutta","pane bianco"
"martedì","01/10/2024","pasta burro e parmigiano","pollo alla cacciatora (bocconcini)","zucchine trifolate","frutta","pane integrale"
"mercoledì","02/10/2024","risotto con zucca gialla","bastoncini/sformatino di merluzzo panato","cannellini all’olio (contorno)","frutta","pane bianco"
"giovedì","03/10/2024","pasta pasticciata","legumi agli aromi","insalata mista (lattuga e carote)","frutta","pane integrale"
"venerdì","04/10/2024","strangozzi al ragù","caciotta umbra","lenticchie in umido (contorno)","biscotto di frolla","pane bianco"
"Lunedì","07/10/2024","pasta olio e parmigiano","frittata al formaggio","zucchine trifolate","frutta","pane integrale"
"martedì","08/10/2024","spaghetti alla pomarola toscana","spezzatino di vitellone con piselli","fagiolini all'olio","frutta","pane bianco"
"mercoledì","09/10/2024","pasta al pesto genovese","legumi agli aromi","pomodori e basilico","frutta","pane integrale"
"giovedì","10/10/2024","risotto alla parmigiana","polpette di merluzzo al pomodoro","bieta all'olio","frutta","pane bianco"
"venerdì","11/10/2024","minestra di riso in brodo vegetale","tacchino al forno (bocconcini)","patate arrosto al rosmarino","frutta","pane integrale"
"Lunedì","14/10/2024","pasta al sugo finto","Edamer","fagiolini all'olio","frutta","pane bianco"
"martedì","15/10/2024","pasta con la besciamella","tortino di filetti di merluzzo in crosta di patate","carote filangè","frutta","pane integrale"
"mercoledì","16/10/2024","pasta integrale rosé","uovo sodo","insalata verde","frutta","pane bianco"
"giovedì","17/10/2024","bastoncini di verdure crude","vitellone hamburger","patate arrosto al rosmarino","frutta","panino per burger"
"venerdì","18/10/2024","passato di verdure con riso","pollo alla cacciatora (bocconcini)","piselli stufati","frutta","pane bianco"
"Lunedì","21/10/2024","risotto al pomodoro","frittata con il porro","spinaci all’olio","frutta","pane integrale"
"martedì","22/10/2024","pasta olio e parmigiano","pollo cremolato (bocconcini)","insalata mista (lattuga e finocchi)","frutta","pane bianco"
"mercoledì","23/10/2024","lasagne alla bolognese","mortadella IGP","insalata verde","pere dell' Emilia Romagna IGP","pane integrale"
